,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
ENSG00000284082.1,0,3,2,1,3,2,2,0,0,0,0,1,1,0,2,4,1,2,1,1,1,2,1,4,0,0,0,1,1,2,0,0,0,1,3,3,1,1,0,0,11,4,0,3,1,2,1,17,10,0,12,7,5,0,5,1,4,3,0,3,3,1,0,6,1,1
ENSG00000266012.1,0,3,1,0,0,3,1,2,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266320.1,29,32,32,5,5,52,44,8,2,1,4,16,7,8,32,31,129,184,89,49,65,8,8,37,42,33,7,6,80,39,27,80,25,18,11,14,5,16,4,1,36,56,7,22,9,17,34,153,84,8,95,43,44,47,19,34,16,21,9,6,18,13,17,15,15,14
ENSG00000274280.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000278420.1,3,6,3,2,1,4,4,1,0,0,0,1,0,0,1,3,4,2,1,1,0,4,1,1,6,3,0,0,6,4,17,0,0,4,3,0,0,0,0,0,35,32,4,0,2,2,4,63,35,4,14,10,2,1,0,2,4,3,1,2,6,8,7,6,1,1
ENSG00000284197.1,0,12,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,3,3,1,2,0,0,0,0,0,0,1,1,8,0,1,0,1,0,0,0,0,0,0,0,0,5,1,0,0,5,4,0,8,6,0,0,0,0,1,0,0,0,0,0,0,1,0,2
ENSG00000207696.1,8,48,18,1,1,7,2,1,6,0,2,2,11,8,4,14,27,23,4,7,9,7,4,3,3,0,2,2,2,3,2,7,9,3,0,1,1,0,1,0,18,16,3,1,4,4,2,15,9,4,18,8,7,5,4,12,2,6,2,2,4,4,1,2,8,9
ENSG00000284289.1,2,20,9,4,4,17,9,1,1,1,1,2,5,8,12,48,29,16,18,11,14,3,2,8,3,2,6,13,14,6,5,7,12,8,17,8,2,2,1,2,49,26,9,20,5,6,7,35,22,8,118,70,10,12,6,9,34,38,9,9,2,9,6,13,4,6
ENSG00000284266.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266594.1,8,36,49,1,0,4,1,0,1,3,1,2,4,17,12,4,16,25,62,273,376,4,0,0,0,0,5,2,0,3,0,67,36,1,1,6,0,1,1,1,3,1,4,2,0,0,1,9,6,4,8,5,3,2,6,7,6,5,0,1,2,1,1,2,2,4
ENSG00000284015.1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,0,0,14,11,0,4,2,0,0,0,0,2,1,0,0,0,1,0,1,1,1
ENSG00000274552.1,0,3,5,1,1,3,2,0,0,0,0,0,2,4,2,1,11,3,1,3,8,3,2,3,2,3,1,1,1,5,13,1,1,6,2,3,0,0,1,0,11,11,1,2,0,0,0,13,8,2,21,8,6,2,2,2,4,5,1,3,1,1,2,2,3,2
ENSG00000207932.1,1040,2832,1764,89,68,484,243,74,49,211,316,372,227,265,343,1116,213,181,856,816,1382,223,223,258,17,18,193,185,40,41,33,2668,1643,54,152,119,288,265,483,35,419,147,117,261,39,54,42,1663,1121,321,2029,1009,194,314,281,549,670,606,275,192,116,631,78,77,304,192
ENSG00000283829.1,24,24,7,0,0,10,5,0,1,3,1,2,1,2,10,4,9,7,46,10,10,2,1,7,0,0,0,0,0,0,0,9,4,0,9,4,0,0,0,0,0,3,1,0,0,2,2,29,19,0,91,34,1,1,0,0,0,4,0,0,0,0,0,1,1,8
ENSG00000221598.3,36,157,110,38,35,136,90,22,11,10,10,22,32,60,60,43,70,87,57,28,32,47,27,45,61,24,12,4,145,188,108,21,8,78,46,13,17,3,15,2,357,311,180,212,25,68,66,335,236,18,960,561,94,54,30,40,71,50,51,54,21,9,128,158,5,14
ENSG00000264160.1,0,4,9,0,0,3,1,0,2,0,0,1,0,5,4,1,13,5,1,19,15,2,2,1,0,2,0,0,0,0,0,0,4,1,0,1,0,1,0,0,3,1,0,3,0,1,2,2,1,1,0,0,3,0,1,2,2,2,0,0,0,0,0,0,0,2
ENSG00000266533.1,1,1,0,3,3,16,11,5,1,4,5,21,14,22,127,1,0,1,14,11,19,44,51,34,42,29,1,1,153,115,80,28,14,14,112,64,0,0,0,0,4,1,0,0,6,8,4,5,4,4,10,2,3,3,20,53,1,4,0,0,11,1,2,6,0,1
ENSG00000283990.1,23,52,50,19,28,43,20,82,51,13,17,37,587,761,507,60,62,35,27,23,17,307,320,272,1386,1217,3,1,538,580,1499,13,7,257,1807,753,8,172,13,1,151,12,12,10,394,393,303,90,63,298,58,35,318,251,1390,2633,0,4,3,1,274,10,85,102,38,20
