,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR3198-2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
MIR636,6,22,19,0,5,31,22,5,3,3,3,12,3,7,35,18,17,22,9,7,12,6,1,15,6,4,10,6,15,10,7,4,0,2,7,7,0,2,6,5,38,19,8,25,2,7,7,205,143,23,135,89,1,2,1,3,33,55,1,3,1,11,2,2,5,6
MIR4485,2,4,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,12,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0
MIR18A,22916,18124,27834,10628,9767,21531,11330,6226,8939,6491,5128,10447,10720,11731,14925,41012,24383,30812,128307,250892,360200,6697,6452,2884,303,428,5763,7443,556,604,227,275027,185811,1695,3301,3086,6023,4568,5885,1399,17643,11398,11589,18165,711,1172,822,41818,30388,26764,42247,22251,6353,5867,919,2027,27929,63436,14759,12971,834,13154,2216,2567,8237,6830
MIR7844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR144,2,11,4,0,0,1,0,0,0,3,2,1,1,1,36,5,0,0,3298,17570,18924,3,1,3,0,0,1,0,0,0,0,27913,20594,2,0,3,0,8,15,0,1,0,0,0,3,1,1,43,35,9,6,1,9,9,0,0,0,6,1,1,0,3,0,0,2,2
MIR6875,1,1,1,1,0,1,1,0,0,0,0,1,3,0,1,0,0,0,1,0,1,4,0,2,3,1,0,0,6,4,1,2,0,1,1,2,0,0,1,1,11,9,1,0,1,3,3,33,22,4,11,7,5,2,1,1,1,2,0,1,3,1,3,2,1,1
MIR639,2,17,8,0,0,2,1,0,0,0,0,1,2,0,2,2,1,2,0,10,15,4,1,0,0,0,0,1,3,3,0,2,2,0,1,1,0,0,1,0,0,0,3,1,0,0,0,2,2,0,3,3,1,2,0,1,4,3,0,0,0,0,2,0,1,1
MIR22,22640,15052,36225,3415,3021,8903,5994,2509,1891,771,579,1753,11128,11038,20466,23451,70251,121679,35713,36745,55071,37312,38421,16648,150129,157103,4875,10319,100687,180989,92959,48825,16748,304265,18533,70964,10256,2136,7560,2015,290054,439702,11826,16847,67678,67369,131311,185058,119940,70436,30729,13890,71882,77486,266515,567531,25748,7636,3298,2454,171907,27433,59187,85064,15574,75638
MIR378I,24,24,7,0,0,10,5,0,1,3,1,2,1,2,10,4,9,7,46,10,10,2,1,7,0,0,0,0,0,0,0,9,4,0,9,4,0,0,0,0,0,3,1,0,0,2,2,29,19,0,91,34,1,1,0,0,0,4,0,0,0,0,0,1,1,8
MIR6734,9,2,3,2,4,5,4,0,1,1,1,1,1,7,5,16,10,6,22,9,4,4,4,12,10,5,0,2,8,26,15,2,6,8,5,8,2,1,3,0,31,22,7,5,8,9,4,59,45,5,35,16,13,14,2,3,5,7,0,3,5,3,18,10,3,14
MIR6764,1,6,1,0,0,1,1,0,0,0,0,0,4,1,3,3,2,2,1,2,1,3,4,3,0,0,0,1,1,1,0,3,2,2,2,0,0,0,0,0,9,1,0,1,2,0,1,12,11,5,21,9,4,2,1,3,1,2,0,1,0,4,1,0,1,2
MIR4751,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIR214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4721,0,2,0,1,0,10,7,3,0,0,0,0,0,0,0,1,1,2,0,2,0,2,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,1,3,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0
MIR6872,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,24,24,19,0,0,0,2,6,8,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,12,1,1,4,5,0,0,0,0,0,0,0,2,0,2,0,0
MIR4738,0,5,1,0,1,2,1,0,0,0,0,0,2,3,3,5,5,4,2,8,4,2,6,3,4,0,0,0,3,4,2,3,2,2,7,4,0,0,0,0,5,3,1,2,0,0,0,5,3,2,17,8,1,4,2,1,5,1,0,0,2,1,0,0,1,0
MIR7703,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MIR1247,1,0,0,2,1,97,91,2,2,5,35,22,33,38,52,2,0,0,2,8,18,146,112,18,0,2,56,61,0,0,3,0,0,0,98,35,4261,3305,3349,2396,13729,133,6,2,8,53,11,2790,1854,28130,15,4,2396,2078,0,1,1988,594,53,57,79,1783,1865,2101,7550,3568
MIR3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3960,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
